airport_code,airline,contact,email
ICN,아시아나항공,02-2669-8000,ops.icn@flyasiana.com
GMP,제주항공,02-2015-1000,ops.gmp@jejuair.net
NRT,ANA,+81-3-6735-1000,ops.nrt@ana.co.jp
HKG,Cathay Pacific,+852-2747-1888,ops.hkg@cathaypacific.com
CDG,Air France,+33-1-4356-7890,ops.cdg@airfrance.fr
JFK,Delta Air Lines,+1-800-221-1212,ops.jfk@delta.com
FRA,Lufthansa,+49-69-86799799,ops.fra@lufthansa.com
SIN,Singapore Airlines,+65-6223-8888,ops.sin@singaporeair.com
BKK,Thai Airways,+66-2-356-1111,ops.bkk@thaiairways.com
LAX,United Airlines,+1-800-864-8331,ops.lax@united.com
